cardNumber,amount,timestamp
1111222233334444,67.73,2025-06-18T18:14:46
5555666677778888,167.63,2025-06-02T13:38:22
5555666677778888,119.52,2025-06-11T09:41:05
1234567812345670,71.36,2025-06-25T09:47:06
5555666677778888,119.95,2025-06-13T18:30:17
1111222233334444,97.92,2025-06-01T21:15:15
5555666677778888,107.85,2025-06-06T11:13:34
1234567812345670,170.6,2025-06-22T12:15:22
1234567812345670,36.95,2025-06-17T16:59:24
5555666677778888,16.94,2025-06-16T08:30:42
1234567812345670,14.4,2025-06-06T13:43:23
5555666677778888,46.93,2025-06-07T20:16:45
5555666677778888,102.81,2025-06-17T08:19:26
5555666677778888,194.24,2025-06-20T13:06:26
1234567812345670,81.83,2025-06-19T17:23:10
1234567812345670,105.54,2025-06-05T14:27:52
1111222233334444,95.2,2025-06-09T15:02:29
1111222233334444,88.9,2025-06-11T17:21:48
5555666677778888,65.38,2025-06-09T12:43:03
5555666677778888,172.79,2025-06-05T21:46:19
5555666677778888,57.09,2025-06-23T10:18:03
5555666677778888,154.14,2025-06-05T09:46:22
1111222233334444,33.51,2025-06-09T13:57:31
5555666677778888,100.47,2025-06-22T15:14:56
1111222233334444,191.31,2025-06-11T10:13:37
5555666677778888,153.19,2025-06-11T11:04:01
1234567812345670,120.03,2025-06-12T17:18:05
5555666677778888,181.26,2025-06-10T11:01:56
1111222233334444,37.53,2025-06-22T08:52:42
5555666677778888,45.96,2025-06-23T15:03:46
1111222233334444,189.49,2025-06-15T11:07:41
1234567812345670,15.43,2025-06-24T20:33:42
1111222233334444,163.22,2025-06-09T08:15:59
5555666677778888,104.16,2025-06-25T17:51:18
5555666677778888,198.4,2025-06-05T17:55:02
5555666677778888,98.31,2025-06-13T17:54:52
1111222233334444,36.91,2025-06-19T12:09:13
1234567812345670,83.83,2025-06-09T11:30:30
5555666677778888,141.57,2025-06-03T21:41:38
1111222233334444,178.03,2025-06-25T21:13:56
1234567812345670,86.11,2025-06-05T17:47:04
1234567812345670,150.71,2025-06-23T10:58:10
1234567812345670,92.7,2025-06-01T12:55:08
1234567812345670,60.12,2025-06-14T20:35:06
5555666677778888,184.15,2025-06-20T17:23:42
5555666677778888,95.35,2025-06-11T10:23:49
1111222233334444,127.65,2025-06-22T17:22:06
5555666677778888,37.39,2025-06-01T12:25:45
1234567812345670,43.19,2025-06-18T09:35:54
1234567812345670,31.62,2025-06-08T12:36:40
5555666677778888,81.47,2025-06-01T14:49:14
1234567812345670,26.81,2025-06-10T19:03:40
1234567812345670,82.35,2025-06-16T19:40:05
5555666677778888,135.29,2025-06-13T21:59:24
1234567812345670,30.02,2025-06-09T10:25:15
1234567812345670,147.4,2025-06-19T11:39:23
1111222233334444,119.17,2025-06-15T11:53:52
5555666677778888,117.93,2025-06-07T18:53:26
1111222233334444,77.82,2025-06-23T09:09:11
1111222233334444,7.32,2025-06-11T16:33:31
1111222233334444,133.81,2025-06-01T13:14:49
1111222233334444,46.94,2025-06-06T14:35:16
1111222233334444,127.89,2025-06-25T19:48:39
1111222233334444,66.35,2025-06-12T19:42:41
5555666677778888,171.28,2025-06-07T08:48:56
5555666677778888,70.63,2025-06-22T09:52:08
1111222233334444,110.0,2025-06-09T11:07:51
1111222233334444,65.46,2025-06-07T17:18:05
1111222233334444,66.8,2025-06-04T13:33:33
1234567812345670,163.98,2025-06-14T16:58:15
1234567812345670,16.42,2025-06-18T10:05:48
5555666677778888,120.82,2025-06-04T16:21:36
1234567812345670,55.95,2025-06-13T21:26:31
1234567812345670,143.72,2025-06-18T21:05:45
5555666677778888,76.13,2025-06-10T19:18:41
1234567812345670,180.3,2025-06-25T09:16:17
5555666677778888,63.56,2025-06-04T13:28:24
1111222233334444,140.24,2025-06-17T19:15:30
1111222233334444,68.19,2025-06-09T09:49:55
1234567812345670,39.87,2025-06-06T13:21:45
5555666677778888,30.64,2025-06-12T10:24:42
1234567812345670,192.84,2025-06-06T11:45:26
1111222233334444,68.68,2025-06-24T20:23:36
1111222233334444,98.57,2025-06-01T18:54:40
1111222233334444,156.41,2025-06-06T13:15:15
1111222233334444,115.0,2025-06-19T10:37:58
1234567812345670,118.65,2025-06-12T21:39:55
1234567812345670,155.64,2025-06-06T12:33:58
1234567812345670,160.25,2025-06-08T17:24:50
5555666677778888,106.22,2025-06-18T08:59:19
1234567812345670,156.31,2025-06-08T08:22:51
1111222233334444,22.09,2025-06-18T08:27:08
1234567812345670,184.97,2025-06-17T20:13:33
5555666677778888,41.85,2025-06-23T14:47:39
1234567812345670,91.41,2025-06-03T11:40:44
1111222233334444,153.88,2025-06-08T08:35:53
5555666677778888,8.0,2025-06-24T14:00:20
1234567812345670,99.07,2025-06-07T15:42:43
5555666677778888,23.6,2025-06-08T19:03:22
5555666677778888,182.3,2025-06-18T09:08:56
1234567812345670,11.56,2025-06-14T16:41:42
1234567812345670,179.9,2025-06-02T14:35:16
1234567812345670,91.4,2025-06-23T17:22:53
5555666677778888,83.69,2025-06-17T15:29:57
5555666677778888,108.02,2025-06-17T21:02:09
1234567812345670,97.26,2025-06-16T09:10:09
1111222233334444,58.42,2025-06-03T19:31:03
1234567812345670,7.21,2025-06-25T16:46:31
5555666677778888,104.4,2025-06-18T18:35:14
1234567812345670,55.09,2025-06-06T12:13:32
5555666677778888,154.09,2025-06-16T20:21:37
1234567812345670,72.83,2025-06-06T09:40:30
5555666677778888,80.65,2025-06-20T14:57:08
5555666677778888,81.94,2025-06-23T17:49:38
5555666677778888,33.86,2025-06-09T20:11:03
1111222233334444,144.82,2025-06-24T17:22:12
1111222233334444,63.75,2025-06-24T12:49:02
1111222233334444,197.5,2025-06-04T20:25:19
5555666677778888,183.4,2025-06-05T20:55:33
1111222233334444,24.17,2025-06-15T12:37:54
1234567812345670,180.8,2025-06-17T12:50:56
5555666677778888,170.24,2025-06-22T12:00:47
1111222233334444,152.1,2025-06-17T14:15:42
1111222233334444,141.07,2025-06-10T18:26:07
1234567812345670,146.79,2025-06-04T10:31:45
1234567812345670,118.46,2025-06-05T19:45:15
1234567812345670,148.48,2025-06-04T19:59:14
5555666677778888,61.34,2025-06-14T15:27:09
5555666677778888,197.73,2025-06-08T16:09:26
5555666677778888,175.28,2025-06-17T09:07:57
5555666677778888,39.63,2025-06-19T09:12:55
1234567812345670,124.21,2025-06-15T19:38:51
5555666677778888,61.13,2025-06-23T16:03:53
1234567812345670,32.47,2025-06-19T21:43:26
5555666677778888,65.45,2025-06-06T12:36:25
5555666677778888,90.68,2025-06-01T09:00:41
1111222233334444,12.85,2025-06-14T17:51:31
1111222233334444,139.21,2025-06-07T17:55:00
5555666677778888,173.69,2025-06-04T16:21:33
1111222233334444,79.58,2025-06-01T09:00:37
1111222233334444,120.08,2025-06-09T20:23:29
1234567812345670,56.99,2025-06-22T14:12:41
5555666677778888,81.48,2025-06-25T13:28:17
5555666677778888,121.91,2025-06-14T15:08:06
1111222233334444,24.2,2025-06-23T11:41:31
1111222233334444,78.8,2025-06-15T21:48:56
5555666677778888,41.75,2025-06-24T15:37:59
5555666677778888,187.37,2025-06-22T11:11:15
5555666677778888,48.12,2025-06-18T10:25:09
1234567812345670,91.8,2025-06-18T16:12:15
1111222233334444,144.57,2025-06-05T17:41:50
1111222233334444,71.62,2025-06-19T16:37:31
1111222233334444,144.89,2025-06-25T13:38:46
5555666677778888,90.81,2025-06-10T08:28:32
1111222233334444,189.99,2025-06-18T17:00:27
5555666677778888,62.9,2025-06-12T11:31:27
5555666677778888,23.27,2025-06-05T13:12:04
5555666677778888,194.44,2025-06-03T13:49:17
1234567812345670,101.32,2025-06-03T09:49:09
1234567812345670,195.27,2025-06-20T19:48:05
5555666677778888,116.21,2025-06-16T20:24:12
1234567812345670,127.35,2025-06-19T10:49:41
1111222233334444,132.87,2025-06-10T09:01:15
5555666677778888,79.83,2025-06-15T14:12:09
5555666677778888,192.82,2025-06-12T09:12:36
1111222233334444,46.33,2025-06-16T16:38:42
1234567812345670,140.76,2025-06-09T15:23:56
1111222233334444,5.88,2025-06-04T08:07:44
1234567812345670,61.41,2025-06-24T10:43:50
1234567812345670,182.95,2025-06-07T20:29:46
1234567812345670,74.8,2025-06-15T11:23:56
1234567812345670,114.58,2025-06-15T20:52:14
1111222233334444,87.12,2025-06-13T13:48:25
1234567812345670,84.16,2025-06-11T11:09:41
1234567812345670,41.22,2025-06-19T15:58:29
1111222233334444,30.02,2025-06-10T11:27:05
5555666677778888,176.14,2025-06-06T16:57:33
1234567812345670,195.79,2025-06-11T14:32:28
1234567812345670,150.73,2025-06-21T18:41:52
1234567812345670,91.58,2025-06-04T17:41:08
1234567812345670,117.71,2025-06-15T21:40:51
1111222233334444,46.24,2025-06-24T08:23:53
5555666677778888,54.28,2025-06-13T09:38:37
5555666677778888,132.63,2025-06-18T20:53:44
1111222233334444,125.61,2025-06-08T10:45:18
1111222233334444,86.42,2025-06-06T17:07:15
1111222233334444,192.45,2025-06-14T21:37:26
1111222233334444,185.12,2025-06-17T16:19:37
5555666677778888,177.59,2025-06-13T15:39:36
5555666677778888,184.0,2025-06-06T20:57:39
1111222233334444,106.46,2025-06-20T20:39:18
1111222233334444,95.41,2025-06-22T15:33:48
5555666677778888,125.5,2025-06-06T11:31:09
1234567812345670,134.45,2025-06-21T18:32:20
5555666677778888,14.12,2025-06-17T20:15:09
1111222233334444,167.7,2025-06-17T08:43:40
1111222233334444,189.04,2025-06-17T19:40:32
1234567812345670,199.97,2025-06-01T08:47:35
1111222233334444,177.43,2025-06-15T09:26:20
5555666677778888,82.17,2025-06-21T17:26:49
1111222233334444,97.02,2025-06-02T14:30:06
5555666677778888,84.48,2025-06-04T19:00:52
1234567812345670,70.08,2025-06-08T21:35:53
1234567812345670,59.17,2025-06-25T13:39:20
5555666677778888,168.12,2025-06-20T16:52:16
1234567812345670,105.3,2025-06-11T16:01:52
1111222233334444,151.42,2025-06-10T10:43:28
5555666677778888,30.64,2025-06-16T10:12:20
5555666677778888,96.28,2025-06-24T10:18:51
5555666677778888,47.85,2025-06-04T15:42:57
5555666677778888,50.54,2025-06-22T14:46:04
1234567812345670,158.76,2025-06-03T13:03:19
5555666677778888,34.26,2025-06-19T17:40:49
1234567812345670,52.1,2025-06-14T21:44:51
1234567812345670,95.34,2025-06-18T17:39:59
1234567812345670,139.55,2025-06-15T09:10:53
5555666677778888,190.68,2025-06-22T12:25:55
1111222233334444,180.36,2025-06-15T15:31:06
5555666677778888,6.3,2025-06-03T09:12:40
5555666677778888,180.89,2025-06-22T16:21:34
1111222233334444,103.79,2025-06-16T15:57:43
5555666677778888,71.2,2025-06-07T21:56:40
5555666677778888,105.33,2025-06-06T19:43:32
1111222233334444,32.73,2025-06-07T17:25:59
1111222233334444,198.07,2025-06-14T18:15:27
1111222233334444,189.36,2025-06-11T13:47:02
1234567812345670,25.71,2025-06-05T19:30:51
1234567812345670,7.45,2025-06-02T14:50:41
5555666677778888,196.52,2025-06-03T10:35:21
1234567812345670,135.15,2025-06-20T12:05:54
1111222233334444,130.62,2025-06-25T13:02:49
1234567812345670,23.43,2025-06-02T10:34:28
1234567812345670,105.38,2025-06-03T18:54:00
1111222233334444,107.16,2025-06-22T09:03:05
5555666677778888,60.69,2025-06-06T18:03:10
1111222233334444,108.72,2025-06-05T09:50:56
1234567812345670,109.64,2025-06-24T20:00:43
5555666677778888,184.73,2025-06-01T17:14:16
5555666677778888,28.05,2025-06-17T10:18:22
5555666677778888,97.63,2025-06-09T08:06:50
5555666677778888,144.39,2025-06-23T13:17:49
1111222233334444,9.33,2025-06-06T08:03:42
5555666677778888,199.01,2025-06-05T14:15:40
1234567812345670,39.09,2025-06-08T13:09:03
1111222233334444,27591.45,2025-06-03T00:09:01
1111222233334444,17207.62,2025-06-19T00:40:31
1234567812345670,7234.71,2025-06-21T02:24:30
1111222233334444,24050.37,2025-06-23T01:41:18
1111222233334444,46547.34,2025-06-14T03:34:00
1234567812345670,15756.93,2025-06-23T03:09:09
1111222233334444,2829.42,2025-06-25T00:16:35
1234567812345670,9569.46,2025-06-04T01:39:44
1111222233334444,39562.5,2025-06-07T01:44:11
1111222233334444,41186.89,2025-06-20T03:44:31
1111222233334444,20302.06,2025-06-03T00:03:50
1234567812345670,44995.43,2025-06-06T01:14:22
1111222233334444,49427.29,2025-06-24T03:58:51
1234567812345670,40692.64,2025-06-21T04:39:59
1111222233334444,8932.52,2025-06-03T02:45:04
1234567812345670,18494.62,2025-06-07T03:15:21
1234567812345670,28959.01,2025-06-22T00:42:39
1234567812345670,19607.57,2025-06-09T01:17:44
1234567812345670,16538.66,2025-06-14T02:01:48
1234567812345670,44331.02,2025-06-25T01:44:43
1234567812345670,33169.85,2025-06-16T00:02:57
1234567812345670,34659.33,2025-06-22T01:47:46
1234567812345670,30524.76,2025-06-06T02:24:48
1234567812345670,43965.74,2025-06-06T04:58:29
1111222233334444,29386.42,2025-06-22T02:20:03
1111222233334444,26857.01,2025-06-17T02:41:07
1111222233334444,20067.17,2025-06-07T00:44:03
1111222233334444,32296.63,2025-06-02T00:14:38
1111222233334444,37820.79,2025-06-14T04:12:20
1234567812345670,19926.52,2025-06-01T03:21:20
